model,spec_z,pred_z,dz,dz_norm,abs_dz_norm
median_redshift_baseline,0.2838051,0.1209818,-0.16282329999999998,-0.1268286751626084,0.1268286751626084
median_redshift_baseline,0.04541655,0.1209818,0.07556525,0.07228243134279823,0.07228243134279823
median_redshift_baseline,0.1178948,0.1209818,0.0030870000000000064,0.0027614405219525185,0.0027614405219525185
median_redshift_baseline,0.2568626,0.1209818,-0.1358808,-0.10811110140440171,0.10811110140440171
median_redshift_baseline,0.1422185,0.1209818,-0.021236699999999997,-0.018592502222648292,0.018592502222648292
median_redshift_baseline,0.08627161,0.1209818,0.03471019,0.03195350930694028,0.03195350930694028
median_redshift_baseline,0.1119271,0.1209818,0.009054699999999999,0.008143249678868335,0.008143249678868335
median_redshift_baseline,0.07111967,0.1209818,0.049862130000000005,0.04655140914366739,0.04655140914366739
median_redshift_baseline,0.08805659,0.1209818,0.032925209999999996,0.030260567605219866,0.030260567605219866
median_redshift_baseline,0.1354005,0.1209818,-0.014418700000000007,-0.01269921935035259,0.01269921935035259
median_redshift_baseline,0.113176,0.1209818,0.007805800000000002,0.00701218854880091,0.00701218854880091
median_redshift_baseline,0.1997469,0.1209818,-0.0787651,-0.0656514303141771,0.0656514303141771
median_redshift_baseline,0.1568169,0.1209818,-0.03583510000000001,-0.030977330984704676,0.030977330984704676
median_redshift_baseline,0.03007817,0.1209818,0.09090363,0.08824925393768902,0.08824925393768902
median_redshift_baseline,0.2154538,0.1209818,-0.094472,-0.0777257021204755,0.0777257021204755
median_redshift_baseline,0.04321804,0.1209818,0.07776376,0.07454219254107224,0.07454219254107224
median_redshift_baseline,0.2868383,0.1209818,-0.1658565,-0.12888682284324302,0.12888682284324302
median_redshift_baseline,0.1192523,0.1209818,0.001729499999999995,0.0015452280062323704,0.0015452280062323704
median_redshift_baseline,0.3071761,0.1209818,-0.1861943,-0.1424401042828124,0.1424401042828124
median_redshift_baseline,0.07321705,0.1209818,0.047764749999999995,0.044506141604813296,0.044506141604813296
median_redshift_baseline,0.1302792,0.1209818,-0.009297400000000011,-0.008225755193937933,0.008225755193937933
median_redshift_baseline,0.1187379,0.1209818,0.002243900000000007,0.0020057423637833377,0.0020057423637833377
median_redshift_baseline,0.155895,0.1209818,-0.034913200000000005,-0.03020447358972917,0.03020447358972917
median_redshift_baseline,0.1121972,0.1209818,0.008784600000000004,0.00789841945295313,0.00789841945295313
median_redshift_baseline,0.1296634,0.1209818,-0.008681600000000012,-0.007685121072347755,0.007685121072347755
median_redshift_baseline,0.074053,0.1209818,0.04692880000000001,0.04369318832497094,0.04369318832497094
median_redshift_baseline,0.1752149,0.1209818,-0.054233100000000006,-0.04614738972421129,0.04614738972421129
median_redshift_baseline,0.157831,0.1209818,-0.0368492,-0.031826060970901626,0.031826060970901626
median_redshift_baseline,0.026856,0.1209818,0.0941258,0.09166406974298245,0.09166406974298245
median_redshift_baseline,0.07587265,0.1209818,0.04510915,0.041927964243723456,0.041927964243723456
median_redshift_baseline,0.0645403,0.1209818,0.056441500000000006,0.053019599164071105,0.053019599164071105
median_redshift_baseline,0.3086886,0.1209818,-0.18770679999999998,-0.14343121809114864,0.14343121809114864
median_redshift_baseline,0.1916537,0.1209818,-0.07067190000000001,-0.05930573622185708,0.05930573622185708
median_redshift_baseline,0.1267866,0.1209818,-0.005804799999999999,-0.005151640958456552,0.005151640958456552
median_redshift_baseline,0.3027119,0.1209818,-0.18173009999999998,-0.13950137401830748,0.13950137401830748
median_redshift_baseline,0.1692919,0.1209818,-0.048310099999999995,-0.04131568858041349,0.04131568858041349
median_redshift_baseline,0.132929,0.1209818,-0.011947199999999991,-0.010545409288666801,0.010545409288666801
median_redshift_baseline,0.01188581,0.1209818,0.10909599,0.10781452701664034,0.10781452701664034
median_redshift_baseline,0.1156005,0.1209818,0.0053813000000000055,0.004823680161491506,0.004823680161491506
median_redshift_baseline,0.1263598,0.1209818,-0.005377999999999994,-0.004774673243842681,0.004774673243842681
median_redshift_baseline,0.118033,0.1209818,0.0029488000000000014,0.002637489233323168,0.002637489233323168
