objid,ra,dec,u,g,r,i,photometric_z,specObjID,redshift,redshift_error,class,spec_z,zmag,u_g,g_r,r_i,i_z,r_mag
1237668496318398520,175.070770515748,17.7278772643588,15.58067,13.20515,12.17295,11.65253,11.37314,2823863958878840832,0.01158564,1.257837e-05,GALAXY,0.01158564,11.37314,2.37552,1.0321999999999996,0.5204199999999997,0.27939000000000114,12.17295
1237663531330961604,119.257778525744,49.5673545560654,15.57065,14.06448,13.52284,13.45262,13.00233,2003090060429256704,0.01168374,1.045045e-05,GALAXY,0.01168374,13.00233,1.506170000000001,0.5416399999999992,0.07022000000000084,0.45028999999999897,13.52284
1237668586509107345,174.760709266348,17.9758194510668,18.25107,17.0576,16.46072,16.18434,16.02303,2823849665227679744,0.0117386,1.156362e-05,GALAXY,0.0117386,16.02303,1.1934699999999978,0.5968800000000023,0.2763799999999996,0.1613100000000003,16.46072
1237668289082491276,152.508648388312,17.0096009070685,19.11043,17.91272,17.43571,17.28016,17.31866,2912757829129496576,0.01175261,2.632765e-05,GALAXY,0.01175261,17.31866,1.1977100000000007,0.47700999999999993,0.15555000000000163,-0.03850000000000264,17.43571
1237655108913135663,177.20821374514,60.1954148639706,16.54556,15.03925,14.25598,13.80779,13.51578,7991799828488409088,0.01179853,8.465494e-06,GALAXY,0.01179853,13.51578,1.5063099999999991,0.7832699999999999,0.44818999999999853,0.2920100000000012,14.25598
1237661059574333649,49.9286896562222,41.6007242294404,18.5537,16.68099,15.77401,15.31501,14.97083,1874761933287090176,0.01179869,7.387251e-06,GALAXY,0.01179869,14.97083,1.8727099999999979,0.9069800000000008,0.4590000000000014,0.3441799999999997,15.77401
1237660961324859460,129.384219453092,28.7085119606373,21.7228,20.79889,20.72239,21.24323,20.88859,12000108530038493184,0.0118125,1.237394e-05,GALAXY,0.0118125,20.88859,0.9239099999999993,0.07649999999999935,-0.5208399999999997,0.35463999999999984,20.72239
1237654605851721957,135.102890351725,3.46082975068616,20.17797,18.16952,17.82114,17.66389,17.97234,636305833143068672,0.01183168,3.18393e-05,GALAXY,0.01183168,17.97234,2.00845,0.3483799999999988,0.15725000000000122,-0.30845000000000056,17.82114
1237664092359361074,124.10372601474,21.3144235798341,18.7281,17.75577,17.40696,17.26723,17.25928,2167500587879393280,0.01184702,1.109242e-05,GALAXY,0.01184702,17.25928,0.972330000000003,0.34880999999999673,0.13973000000000013,0.007950000000001012,17.40696
1237667210524885199,173.23362987661,28.6840112088608,18.4406,17.50243,17.2309,17.08491,17.05542,2499579770476455936,0.01188581,4.276932e-06,GALAXY,0.01188581,17.05542,0.9381699999999995,0.27153000000000205,0.14598999999999762,0.029489999999999128,17.2309
