# h E_per_node M_abs M C chi Binder
-0.40000000 -1.878492187500 0.965664062500 -0.965664062500 0.282142046875 0.043561718750 0.666545655273
-0.39000000 -1.865646093750 0.960390625000 -0.960390625000 0.459542124375 0.077112500000 0.666449664202
-0.38000000 -1.873748828125 0.964121093750 -0.964121093750 0.356639230117 0.057994335938 0.666505017150
-0.37000000 -1.860792382812 0.962128906250 -0.962128906250 0.331670656748 0.050620898437 0.666524800246
-0.36000000 -1.862125781250 0.961308593750 -0.961308593750 0.331936071719 0.058152148438 0.666503582261
-0.35000000 -1.859041992188 0.958144531250 -0.958144531250 0.421350248779 0.083330273438 0.666432132505
-0.34000000 -1.855658593750 0.958164062500 -0.958164062500 0.373972773594 0.064030468750 0.666485396036
-0.33000000 -1.861523437500 0.958984375000 -0.958984375000 0.305922560546 0.060898437500 0.666495088104
-0.32000000 -1.849923437500 0.955449218750 -0.955449218750 0.385803811875 0.084441210937 0.666427897904
-0.31000000 -1.851080273438 0.959003906250 -0.959003906250 0.378912323622 0.063691210938 0.666487584621
-0.30000000 -1.825080078125 0.949355468750 -0.949355468750 0.454475799804 0.084853710938 0.666423012332
-0.29000000 -1.856448046875 0.956367187500 -0.956367187500 0.396114873086 0.073367968750 0.666459668414
-0.28000000 -1.863550000000 0.959804687500 -0.959804687500 0.340033322500 0.061139843750 0.666494896157
-0.27000000 -1.848006835937 0.954785156250 -0.954785156250 0.387795733155 0.072983398437 0.666459013261
-0.26000000 -1.840143750000 0.953828125000 -0.953828125000 0.557679170937 0.101660937500 0.666375522964
-0.25000000 -1.838398437500 0.952812500000 -0.952812500000 0.413941552734 0.103504687500 0.666377812111
-0.24000000 -1.842820312500 0.954296875000 -0.954296875000 0.363410421875 0.069765625000 0.666467959619
-0.23000000 -1.835827539063 0.953496093750 -0.953496093750 0.521581585263 0.094245898438 0.666396800915
-0.22000000 -1.833186328125 0.948964843750 -0.948964843750 0.604317244179 0.129244335938 0.666295535733
-0.21000000 -1.837344140625 0.950429687500 -0.950429687500 0.387028542930 0.088233593750 0.666412366734
-0.20000000 -1.834285156250 0.951113281250 -0.951113281250 0.491736605468 0.104627148437 0.666367990357
-0.19000000 -1.812908007812 0.943964843750 -0.943964843750 0.472666193154 0.094949023437 0.666390789291
-0.18000000 -1.816741015625 0.944785156250 -0.944785156250 0.407778564493 0.076283398438 0.666445567523
-0.17000000 -1.814059375000 0.944375000000 -0.944375000000 0.437182243593 0.108534375000 0.666352077953
-0.16000000 -1.823667187500 0.947480468750 -0.947480468750 0.507641556876 0.100308398438 0.666376433325
-0.15000000 -1.824343750000 0.947578125000 -0.947578125000 0.326728324219 0.072371875000 0.666457199418
-0.14000000 -1.791258593750 0.932539062500 -0.932539062500 0.552595676406 0.211344531250 0.666045296485
-0.13000000 -1.793361914062 0.933613281250 -0.933613281250 0.379835788389 0.097441210938 0.666374974463
-0.12000000 -1.793776562500 0.931210937500 -0.931210937500 0.563511288126 0.198303906250 0.666075600995
-0.11000000 -1.800872851563 0.939042968750 -0.939042968750 0.363236804091 0.092824023438 0.666394001969
-0.10000000 -1.792384765625 0.934394531250 -0.934394531250 0.341355956055 0.100863085937 0.666368628139
-0.09000000 -1.776320898437 0.929824218750 -0.929824218750 0.462765321592 0.137509960938 0.666256287072
-0.08000000 -1.789189062500 0.934199218750 -0.934199218750 0.595699586875 0.137214648437 0.666258948844
-0.07000000 -1.797392578125 0.936523437500 -0.936523437500 0.630088559570 0.175097656250 0.666152906940
-0.06000000 -1.780890234375 0.927597656250 -0.927597656250 0.527873049180 0.173056835938 0.666145865932
-0.05000000 -1.753833984375 0.917304687500 -0.917304687500 0.676211211913 0.169032031250 0.666149107378
-0.04000000 -1.767713281250 0.922324218750 -0.922324218750 0.805804932969 0.282650585938 0.665818509876
-0.03000000 -1.774216601562 0.927011718750 -0.927011718750 0.651338193155 0.168111523438 0.666153458626
-0.02000000 -1.756800781250 0.920117187500 -0.920117187500 0.682320035156 0.200175781250 0.666051694109
-0.01000000 -1.745670703125 0.904960937500 -0.904960937500 0.514296389101 0.349032031250 0.665562410334
0.00000000 -1.746523437500 0.913828125000 -0.913828125000 0.939679296875 0.426104687500 0.665379383262
0.01000000 -1.744742968750 0.914375000000 -0.914375000000 0.768945599062 0.298231250000 0.665755276087
0.02000000 -1.753451953125 0.919199218750 -0.919199218750 0.454144028554 0.154400585937 0.666194759981
0.03000000 -1.725789843750 0.905312500000 -0.905312500000 0.758562654921 0.304198437500 0.665719967493
0.04000000 -1.672550000000 0.843476562500 -0.843476562500 0.662717016250 1.004532031250 0.663099547030
0.05000000 -1.867992187500 0.928203125000 0.928203125000 0.549471441406 0.159653125000 0.666187561102
0.06000000 -1.772390234375 0.921347656250 0.921347656250 0.422262442931 0.191752148437 0.666086612658
0.07000000 -1.779622265625 0.926523437500 0.926523437500 0.658534873477 0.275069531250 0.665841028225
0.08000000 -1.773881250000 0.924980468750 0.924980468750 0.585179090000 0.185902148437 0.666105611598
0.09000000 -1.766687695312 0.922832031250 0.922832031250 0.638137449405 0.209159960937 0.666032424680
0.10000000 -1.781099609375 0.930917968750 0.930917968750 0.474480635742 0.134947460937 0.666260293985
0.11000000 -1.772457421875 0.923085937500 0.923085937500 0.440106281992 0.196358593750 0.666075947539
0.12000000 -1.785522656250 0.931113281250 0.931113281250 0.617428052968 0.189955273437 0.666097817728
0.13000000 -1.776400195312 0.927988281250 0.927988281250 0.498671850967 0.177174023438 0.666137681282
0.14000000 -1.815870703125 0.942324218750 0.942324218750 0.387094596055 0.098767773437 0.666376917365
0.15000000 -1.819247070313 0.944589843750 0.944589843750 0.482520121826 0.126783398438 0.666302369802
0.16000000 -1.804239062500 0.939824218750 0.939824218750 0.605379206875 0.146277148437 0.666237169699
0.17000000 -1.815190039062 0.944707031250 0.944707031250 0.399398259483 0.087136523437 0.666414183131
0.18000000 -1.819229687500 0.945156250000 0.945156250000 0.503190852188 0.120964062500 0.666316996919
0.19000000 -1.821408007812 0.947480468750 0.947480468750 0.453621367372 0.108511523438 0.666352386436
0.20000000 -1.839027343750 0.951777343750 0.951777343750 0.414506324218 0.076706835938 0.666447656318
0.21000000 -1.837403125000 0.949687500000 0.949687500000 0.240204492031 0.043403125000 0.666541330239
0.22000000 -1.822103906250 0.947773437500 0.947773437500 0.658055523594 0.131274218750 0.666286496311
0.23000000 -1.832106054688 0.951582031250 0.951582031250 0.435307117294 0.074542773437 0.666452898088
0.24000000 -1.843856250000 0.952265625000 0.952265625000 0.568836734999 0.122785937500 0.666314622056
0.25000000 -1.848071289062 0.952597656250 0.952597656250 0.408296356201 0.080502148438 0.666435976055
0.26000000 -1.835885937500 0.953828125000 0.953828125000 0.342051053750 0.066075000000 0.666478847994
0.27000000 -1.836349218750 0.951250000000 0.951250000000 0.621402579453 0.128864062500 0.666299148072
0.28000000 -1.854739843750 0.954707031250 0.954707031250 0.377889782969 0.067956835938 0.666472385114
0.29000000 -1.859354101563 0.959316406250 0.959316406250 0.442579600107 0.073322460938 0.666460001572
0.30000000 -1.850591796875 0.958613281250 0.958613281250 0.383937198242 0.067995898438 0.666474278498
0.31000000 -1.852787109375 0.958398437500 0.958398437500 0.405723278320 0.065566406250 0.666480546297
0.32000000 -1.860801562500 0.959414062500 0.959414062500 0.368508956875 0.061897656250 0.666492489145
0.33000000 -1.850239453125 0.957460937500 0.957460937500 0.434821622305 0.069046093750 0.666471243406
0.34000000 -1.851364062500 0.956562500000 0.956562500000 0.334998356875 0.063325000000 0.666487603770
0.35000000 -1.860024414063 0.960058593750 0.960058593750 0.377640643309 0.060092773437 0.666496423894
0.36000000 -1.865205468750 0.962050781250 0.962050781250 0.507799426720 0.079345898438 0.666443908858
0.37000000 -1.869536914062 0.961269531250 0.961269531250 0.372891024014 0.065666210937 0.666481432177
0.38000000 -1.861577343750 0.960976562500 0.960976562500 0.474309724843 0.075467968750 0.666454967035
0.39000000 -1.877382226562 0.965292968750 0.965292968750 0.265777539952 0.039799023437 0.666555766453
0.40000000 -1.868726562500 0.965175781250 0.965175781250 0.284185796875 0.044611523437 0.666542128469
0.41000000 -1.876414257812 0.966816406250 0.966816406250 0.310811207217 0.047831835938 0.666534680356
0.42000000 -1.867616796875 0.963261718750 0.963261718750 0.453213699180 0.070222460938 0.666469994587
0.43000000 -1.875417773437 0.966269531250 0.966269531250 0.317152060342 0.045111523437 0.666541034918
0.44000000 -1.864859375000 0.962304687500 0.962304687500 0.396008968750 0.060332031250 0.666497674545
0.45000000 -1.875664062500 0.964453125000 0.964453125000 0.343478466796 0.045273437500 0.666540400326
0.46000000 -1.890513671875 0.968847656250 0.968847656250 0.414710870117 0.071186523438 0.666471312037
0.47000000 -1.870502734375 0.963710937500 0.963710937500 0.374776567617 0.055827343750 0.666511350536
0.48000000 -1.884901562500 0.966347656250 0.966347656250 0.274160956875 0.041322460937 0.666551724696
0.49000000 -1.889174218750 0.969296875000 0.969296875000 0.380054148593 0.054534375000 0.666516515601
0.50000000 -1.887041015625 0.968847656250 0.968847656250 0.315200463867 0.044272460938 0.666544132633
0.51000000 -1.884725000000 0.966640625000 0.966640625000 0.362619311875 0.052175000000 0.666522282744
0.52000000 -1.887275000000 0.969218750000 0.969218750000 0.316592415000 0.046371875000 0.666538978718
0.53000000 -1.901017968750 0.972734375000 0.972734375000 0.331000141172 0.041910937500 0.666551716574
0.54000000 -1.882747265625 0.968339843750 0.968339843750 0.317372859805 0.046222460937 0.666538347959
0.55000000 -1.904139648437 0.970878906250 0.970878906250 0.269670405030 0.036253710937 0.666566822241
0.56000000 -1.896342187500 0.970937500000 0.970937500000 0.289423261875 0.038956250000 0.666559529512
0.57000000 -1.903683789062 0.974082031250 0.974082031250 0.299391409951 0.039017773437 0.666560524557
0.58000000 -1.905995312500 0.970937500000 0.970937500000 0.306961988125 0.043018750000 0.666548189658
0.59000000 -1.907441992187 0.972988281250 0.972988281250 0.230093338780 0.030705273437 0.666582452808
0.60000000 -1.905886718750 0.972050781250 0.972050781250 0.347686136718 0.043972460938 0.666546707718
