# h E_per_node M_abs M C chi Binder
-0.09000000 -1.748280859375 0.916445312500 -0.916445312500 0.519695055592 0.210959077381 0.665984545778
-0.10000000 -1.729712890625 0.911582031250 -0.911582031250 0.952266803961 0.293967819940 0.665709313727
-0.11000000 -1.737627734375 0.914335937500 -0.914335937500 0.875348812039 0.344457589286 0.665585074936
-0.12000000 -1.762317968750 0.921660156250 -0.921660156250 0.696881152353 0.200405319940 0.666025709124
-0.13000000 -1.739859960938 0.915839843750 -0.915839843750 0.705507486634 0.188321986607 0.666054760065
-0.14000000 -1.763882031250 0.922539062500 -0.922539062500 0.444443507511 0.142604910714 0.666209768875
-0.15000000 -1.749822265625 0.919257812500 -0.919257812500 0.725865725092 0.250715029762 0.665872121274
-0.16000000 -1.746129687500 0.916972656250 -0.916972656250 0.430275607143 0.143805617560 0.666200821475
-0.17000000 -1.783123828125 0.931289062500 -0.931289062500 0.580491836417 0.152023065476 0.666191426314
-0.18000000 -1.786346875000 0.935000000000 -0.935000000000 0.372247424036 0.073886904762 0.666434786280
-0.19000000 -1.766862890625 0.929726562500 -0.929726562500 0.699206354132 0.178347470238 0.666110114307
-0.20000000 -1.778949218750 0.929316406250 -0.929316406250 0.534506728316 0.183582403274 0.666094801807
-0.21000000 -1.789099218750 0.936093750000 -0.936093750000 0.507692421839 0.105918154762 0.666336904481
-0.22000000 -1.793667578125 0.935527343750 -0.935527343750 0.502424949653 0.120293712798 0.666291624719
-0.23000000 -1.798059960938 0.938066406250 -0.938066406250 0.572087338887 0.146179129464 0.666217005431
-0.24000000 -1.778893750000 0.932402343750 -0.932402343750 0.282112321995 0.071945498512 0.666442029754
-0.25000000 -1.784594726562 0.932363281250 -0.932363281250 0.491893396356 0.140835379464 0.666227324692
-0.26000000 -1.796180859375 0.936933593750 -0.936933593750 0.558251919325 0.129624069940 0.666264301236
-0.27000000 -1.810245703125 0.940507812500 -0.940507812500 0.366975937464 0.085246279762 0.666404999854
-0.28000000 -1.810585156250 0.943496093750 -0.943496093750 0.645518919926 0.146475260417 0.666222467672
-0.29000000 -1.809066796875 0.945664062500 -0.945664062500 0.483326131271 0.097149553571 0.666373837326
-0.30000000 -1.800664062500 0.941796875000 -0.941796875000 0.493417658730 0.101785714286 0.666354803786
-0.31000000 -1.818020312500 0.946171875000 -0.946171875000 0.537056282809 0.112772321429 0.666322753825
-0.32000000 -1.825078125000 0.946289062500 -0.946289062500 0.496475566894 0.099869791667 0.666363146724
-0.33000000 -1.834118945313 0.949863281250 -0.949863281250 0.510146460273 0.095165736607 0.666381970935
-0.34000000 -1.829407421875 0.951152343750 -0.951152343750 0.420801431795 0.072228236607 0.666449240879
-0.35000000 -1.835147460938 0.952597656250 -0.952597656250 0.477923535600 0.086713355655 0.666408424420
-0.36000000 -1.807011718750 0.945800781250 -0.945800781250 0.488412170495 0.086360677083 0.666404220150
-0.37000000 -1.834870703125 0.950664062500 -0.950664062500 0.435079258397 0.082872767857 0.666416805212
-0.38000000 -1.818957421875 0.946269531250 -0.946269531250 0.482429915640 0.094735677083 0.666379568913
-0.39000000 -1.835524023438 0.953066406250 -0.953066406250 0.308270941494 0.050202938988 0.666515192630
-0.40000000 -1.832554687500 0.952480468750 -0.952480468750 0.448594260204 0.076527343750 0.666437141697
-0.41000000 -1.856263476563 0.957207031250 -0.957207031250 0.355770721185 0.053984188988 0.666505713561
-0.42000000 -1.825709375000 0.951093750000 -0.951093750000 0.343507998299 0.061752976190 0.666479425796
